filepath,class_key,class_id,split,source,group_id
test/maize_healthy/193e6262-e589-4f7d-93b8-c707368ee3b0___R.S_HL 8262 copy.jpg,maize_healthy,1,test,plantvillage,maize_healthy:25
test/maize_healthy/28469ee6-51f6-4e41-b625-fbb7c169b02a___R.S_HL 5534 copy 2.jpg,maize_healthy,1,test,plantvillage,maize_healthy:42
test/maize_healthy/2af59ffa-49d7-4c0f-963c-d7b8a0dbd852___R.S_HL 8122 copy.jpg,maize_healthy,1,test,plantvillage,maize_healthy:47
test/maize_healthy/3deca79b-004d-4d83-9e97-25523e492f68___R.S_HL 8265 copy.jpg,maize_healthy,1,test,plantvillage,maize_healthy:61
test/maize_healthy/3eb884a5-e02f-4f39-b406-977e49ce1957___R.S_HL 8209 copy.jpg,maize_healthy,1,test,plantvillage,maize_healthy:63
test/maize_healthy/40e5e314-1484-40c0-8297-3efde6fb5e89___R.S_HL 0613 copy.jpg,maize_healthy,1,test,plantvillage,maize_healthy:66
test/maize_healthy/5c4c7615-f758-4dfd-a277-1dc94aa94a95___R.S_HL 8343 copy.jpg,maize_healthy,1,test,plantvillage,maize_healthy:90
test/maize_healthy/690aa499-e65c-42a5-ac1a-2eeebeb9ee9f___R.S_HL 5554 copy 2.jpg,maize_healthy,1,test,plantvillage,maize_healthy:104
test/maize_healthy/6a380e65-c86d-44a4-a9d9-91ee9ab8cd69___R.S_HL 8124 copy 2.jpg,maize_healthy,1,test,plantvillage,maize_healthy:107
test/maize_healthy/6e32f66d-c54c-4df4-9894-e7aa3ff748d9___R.S_HL 0620 copy 2.jpg,maize_healthy,1,test,plantvillage,maize_healthy:113
test/maize_healthy/76384c2b-bc52-4237-b6ca-0c7b34099ea8___R.S_HL 8215 copy 2.jpg,maize_healthy,1,test,plantvillage,maize_healthy:116
test/maize_healthy/79548859-be87-4f81-b6db-62fbd2505b9c___R.S_HL 7916 copy 2.jpg,maize_healthy,1,test,plantvillage,maize_healthy:118
test/maize_healthy/799436ad-dbb3-4019-b150-db9e005a03a8___R.S_HL 5502 copy 2.jpg,maize_healthy,1,test,plantvillage,maize_healthy:119
test/maize_healthy/7e705f3a-846b-4815-bb4a-99c7024030ab___R.S_HL 7989 copy.jpg,maize_healthy,1,test,plantvillage,maize_healthy:123
test/maize_healthy/82bee6cc-67db-4e6c-a430-30791dfc0c60___R.S_HL 0629 copy.jpg,maize_healthy,1,test,plantvillage,maize_healthy:128
test/maize_healthy/959b7332-37bc-4e70-8639-77e9089892a1___R.S_HL 8322 copy.jpg,maize_healthy,1,test,plantvillage,maize_healthy:137
test/maize_healthy/9b89434d-522e-49de-9587-80055bef7a7d___R.S_HL 0609.jpg,maize_healthy,1,test,plantvillage,maize_healthy:142
test/maize_healthy/9fcbdd37-3bc2-44b1-aa8a-08a1f85ea5bf___R.S_HL 0606 copy 2.jpg,maize_healthy,1,test,plantvillage,maize_healthy:147
test/maize_healthy/a69fb110-6abc-4025-b22a-9ce26e02a4e4___R.S_HL 7961 copy 3.jpg,maize_healthy,1,test,plantvillage,maize_healthy:155
test/maize_healthy/bc45e1c9-7937-4fe6-9601-371df46a60da___R.S_HL 8025 copy 2.jpg,maize_healthy,1,test,plantvillage,maize_healthy:172
test/maize_healthy/bea3239f-b794-42ee-bc3b-249fa2a53669___R.S_HL 8100 copy.jpg,maize_healthy,1,test,plantvillage,maize_healthy:175
test/maize_healthy/c7356006-ca58-4bfd-acb1-5ccd6dbf9d4b___R.S_HL 8310 copy 2.jpg,maize_healthy,1,test,plantvillage,maize_healthy:182
test/maize_healthy/caf84ecd-be68-434b-8a0c-86cdccd4eb94___R.S_HL 8036 copy.jpg,maize_healthy,1,test,plantvillage,maize_healthy:185
test/maize_healthy/cb4cd602-6771-45f2-9235-6e6590707998___R.S_HL 7896 copy.jpg,maize_healthy,1,test,plantvillage,maize_healthy:187
test/maize_healthy/cfa7d11e-1df2-4e9f-a90d-1feb1bbdb55d___R.S_HL 7895 copy 2.jpg,maize_healthy,1,test,plantvillage,maize_healthy:192
test/maize_healthy/db9acaef-81ac-43d5-9cc2-74ca5182726a___R.S_HL 8318 copy.jpg,maize_healthy,1,test,plantvillage,maize_healthy:200
test/maize_healthy/e2b6e2e6-4b4a-46be-8459-153661e95d35___R.S_HL 5535 copy.jpg,maize_healthy,1,test,plantvillage,maize_healthy:207
test/maize_healthy/e6a2fef5-35f9-4583-be40-ea0a89a43bad___R.S_HL 8128 copy 2.jpg,maize_healthy,1,test,plantvillage,maize_healthy:213
test/maize_healthy/e753f9e0-cfa5-482f-a361-ab3ad2ab151e___R.S_HL 7921 copy 2.jpg,maize_healthy,1,test,plantvillage,maize_healthy:216
test/maize_healthy/ef21bc27-7f69-4eba-87e2-6b1f348cc846___R.S_HL 8279 copy.jpg,maize_healthy,1,test,plantvillage,maize_healthy:221
test/maize_healthy/f73f38b8-0938-44f2-a229-6baa3114fe40___R.S_HL 0630 copy 3.jpg,maize_healthy,1,test,plantvillage,maize_healthy:226
test/pepper_bacterial_spot/11e6ce0a-8511-485a-b22c-21b978d28e5e___JR_B.Spot 3383.jpg,pepper_bacterial_spot,2,test,plantvillage,pepper_bacterial_spot:11
test/pepper_bacterial_spot/17557939-f9e2-435a-a4e7-f4d3cff8aa8b___JR_B.Spot 3107.jpg,pepper_bacterial_spot,2,test,plantvillage,pepper_bacterial_spot:17
test/pepper_bacterial_spot/1cb295da-e568-4168-a29c-48ab980f3772___NREC_B.Spot 9250.jpg,pepper_bacterial_spot,2,test,plantvillage,pepper_bacterial_spot:21
test/pepper_bacterial_spot/21556c18-1833-43a9-86b2-8e7130b4dbce___JR_B.Spot 3230.jpg,pepper_bacterial_spot,2,test,plantvillage,pepper_bacterial_spot:25
test/pepper_bacterial_spot/28f23e77-e556-40c8-8bc2-835227732de2___JR_B.Spot 8848.jpg,pepper_bacterial_spot,2,test,plantvillage,pepper_bacterial_spot:31
test/pepper_bacterial_spot/2becae93-578d-44c6-8e74-056e59d15c8e___JR_B.Spot 3396.jpg,pepper_bacterial_spot,2,test,plantvillage,pepper_bacterial_spot:32
test/pepper_bacterial_spot/37fbacb5-ed9d-48f2-bf19-37656ff7c317___JR_B.Spot 3307.jpg,pepper_bacterial_spot,2,test,plantvillage,pepper_bacterial_spot:39
test/pepper_bacterial_spot/3b58322b-64c3-4354-8612-93a6f50a096e___JR_B.Spot 3291.jpg,pepper_bacterial_spot,2,test,plantvillage,pepper_bacterial_spot:42
test/pepper_bacterial_spot/50e6a99b-97a6-4f91-bb0d-b82e11e3f482___NREC_B.Spot 9195.jpg,pepper_bacterial_spot,2,test,plantvillage,pepper_bacterial_spot:66
test/pepper_bacterial_spot/51f564c9-28a3-4352-960c-9d88445d36d9___NREC_B.Spot 1794.jpg,pepper_bacterial_spot,2,test,plantvillage,pepper_bacterial_spot:67
test/pepper_bacterial_spot/6053bc44-28f5-48db-b21b-df8c16351222___JR_B.Spot 3173.jpg,pepper_bacterial_spot,2,test,plantvillage,pepper_bacterial_spot:79
test/pepper_bacterial_spot/61ec5d27-b456-4164-9bb2-71443e542775___JR_B.Spot 8843.jpg,pepper_bacterial_spot,2,test,plantvillage,pepper_bacterial_spot:80
test/pepper_bacterial_spot/64c23fb9-51a0-4690-bed5-47ab3af8c294___JR_B.Spot 9072.jpg,pepper_bacterial_spot,2,test,plantvillage,pepper_bacterial_spot:84
test/pepper_bacterial_spot/66dc5b26-4643-4c8b-a95b-d273ead3672b___JR_B.Spot 3191.jpg,pepper_bacterial_spot,2,test,plantvillage,pepper_bacterial_spot:89
test/pepper_bacterial_spot/71910a98-a735-4f6d-bd6b-117845ed0ad6___JR_B.Spot 3282.jpg,pepper_bacterial_spot,2,test,plantvillage,pepper_bacterial_spot:93
test/pepper_bacterial_spot/7882ce4f-9820-4e9f-978f-ccd7d1c75e16___NREC_B.Spot 1968.jpg,pepper_bacterial_spot,2,test,plantvillage,pepper_bacterial_spot:96
test/pepper_bacterial_spot/78bed62c-8645-4956-a9c0-c6709e254a43___JR_B.Spot 3099.jpg,pepper_bacterial_spot,2,test,plantvillage,pepper_bacterial_spot:97
test/pepper_bacterial_spot/7b3f55a2-eeeb-4a88-98dd-f065ea4a777f___JR_B.Spot 3212.jpg,pepper_bacterial_spot,2,test,plantvillage,pepper_bacterial_spot:102
test/pepper_bacterial_spot/7beb562a-e1b0-40a2-8b44-fd892051da87___JR_B.Spot 8989.jpg,pepper_bacterial_spot,2,test,plantvillage,pepper_bacterial_spot:103
test/pepper_bacterial_spot/8f9dedbd-e4c2-4bbb-b9c4-efb8d61bddc2___NREC_B.Spot 1882.jpg,pepper_bacterial_spot,2,test,plantvillage,pepper_bacterial_spot:113
test/pepper_bacterial_spot/a6f6100d-4655-4b8c-82e0-d9c827d4350b___JR_B.Spot 3377.jpg,pepper_bacterial_spot,2,test,plantvillage,pepper_bacterial_spot:133
test/pepper_bacterial_spot/b1c60a36-0aa1-4051-8dfe-db3ab7feeb39___JR_B.Spot 3406.jpg,pepper_bacterial_spot,2,test,plantvillage,pepper_bacterial_spot:143
test/pepper_bacterial_spot/b84f038e-0823-4ed9-a96e-47bb8e628dd0___JR_B.Spot 3309.jpg,pepper_bacterial_spot,2,test,plantvillage,pepper_bacterial_spot:147
test/pepper_bacterial_spot/ba89789a-d506-48d5-964b-41f5815d46b1___JR_B.Spot 3352.jpg,pepper_bacterial_spot,2,test,plantvillage,pepper_bacterial_spot:151
test/pepper_bacterial_spot/bcf56f7d-d584-4fed-b42e-5cbf3b8707b7___JR_B.Spot 3197.jpg,pepper_bacterial_spot,2,test,plantvillage,pepper_bacterial_spot:152
test/pepper_bacterial_spot/c8080916-dd9d-40c4-a39b-1957ebd17b87___NREC_B.Spot 9115.jpg,pepper_bacterial_spot,2,test,plantvillage,pepper_bacterial_spot:160
test/pepper_bacterial_spot/cb6eba3e-5837-470a-b6cd-75721d7a5865___NREC_B.Spot 1806.jpg,pepper_bacterial_spot,2,test,plantvillage,pepper_bacterial_spot:162
test/pepper_bacterial_spot/e1a8a7b1-5e9a-4da0-a894-9d83821b0d01___NREC_B.Spot 9170.jpg,pepper_bacterial_spot,2,test,plantvillage,pepper_bacterial_spot:175
test/pepper_bacterial_spot/f04c0c6c-ac82-4ac1-abbb-336630ea6363___JR_B.Spot 3129.jpg,pepper_bacterial_spot,2,test,plantvillage,pepper_bacterial_spot:190
test/pepper_bacterial_spot/f815ab23-815d-4e3a-8ebf-47d9084645cc___NREC_B.Spot 1869.jpg,pepper_bacterial_spot,2,test,plantvillage,pepper_bacterial_spot:194
test/pepper_healthy/0b796b7a-dfc8-47f7-9970-8373263c6408___JR_HL 5948.jpg,pepper_healthy,3,test,plantvillage,pepper_healthy:13
test/pepper_healthy/0f56ffda-5d57-4a61-8f7f-37f22a02520a___JR_HL 8589.jpg,pepper_healthy,3,test,plantvillage,pepper_healthy:19
test/pepper_healthy/1091d6d7-6767-4643-897e-3637df768172___JR_HL 8111.jpg,pepper_healthy,3,test,plantvillage,pepper_healthy:20
test/pepper_healthy/15e3f3e1-3925-436c-9fbc-7076986978b1___JR_HL 8140.jpg,pepper_healthy,3,test,plantvillage,pepper_healthy:25
test/pepper_healthy/41b94c99-7063-42dc-9ce7-22ff087317e9___JR_HL 7696.jpg,pepper_healthy,3,test,plantvillage,pepper_healthy:69
test/pepper_healthy/447aa7fa-b251-4687-a25d-bf314eaf3f7e___JR_HL 8063.jpg,pepper_healthy,3,test,plantvillage,pepper_healthy:71
test/pepper_healthy/47c2ad4e-4eca-4597-9784-c3d99444bf29___JR_HL 8450.jpg,pepper_healthy,3,test,plantvillage,pepper_healthy:77
test/pepper_healthy/49fe17e3-29c6-4619-9312-290858cb78be___JR_HL 7598.jpg,pepper_healthy,3,test,plantvillage,pepper_healthy:82
test/pepper_healthy/5a91d465-2042-46de-8940-dfde77038e60___JR_HL 8793.jpg,pepper_healthy,3,test,plantvillage,pepper_healthy:94
test/pepper_healthy/5b415704-c5f6-4d94-9ab9-29340b7a3b8f___JR_HL 5971.jpg,pepper_healthy,3,test,plantvillage,pepper_healthy:97
test/pepper_healthy/5f6fca00-3b9a-4f8d-bc53-36ada4085c0a___JR_HL 5832.jpg,pepper_healthy,3,test,plantvillage,pepper_healthy:101
test/pepper_healthy/60006156-5cb7-4bae-ad51-8e4a3401e298___JR_HL 7848.jpg,pepper_healthy,3,test,plantvillage,pepper_healthy:102
test/pepper_healthy/62252889-3c0e-46ce-b196-b505e78dc810___JR_HL 7584.jpg,pepper_healthy,3,test,plantvillage,pepper_healthy:107
test/pepper_healthy/636b11a4-ccc6-496a-923e-72f6332a91b1___JR_HL 8405.jpg,pepper_healthy,3,test,plantvillage,pepper_healthy:108
test/pepper_healthy/6506ee29-4743-4023-a584-17c40b4e45a0___JR_HL 7827.jpg,pepper_healthy,3,test,plantvillage,pepper_healthy:110
test/pepper_healthy/650a5f9b-7a57-46fd-a18a-844bb03bdf80___JR_HL 6013.jpg,pepper_healthy,3,test,plantvillage,pepper_healthy:111
test/pepper_healthy/6e418c92-e6e2-46c9-b1fb-96f3e87c2bb2___JR_HL 8616.jpg,pepper_healthy,3,test,plantvillage,pepper_healthy:117
test/pepper_healthy/6e9949e7-6036-4db1-a3a7-e9b78097146f___JR_HL 5964.jpg,pepper_healthy,3,test,plantvillage,pepper_healthy:118
test/pepper_healthy/735e7dff-5438-4c3f-be1a-129882228f64___JR_HL 8336.jpg,pepper_healthy,3,test,plantvillage,pepper_healthy:122
test/pepper_healthy/74757941-c844-4b45-9eb5-b8cf04cb779d___JR_HL 5842.jpg,pepper_healthy,3,test,plantvillage,pepper_healthy:124
test/pepper_healthy/7b3b16d2-e0d2-4c91-acc1-3778b3b99ea9___JR_HL 8095.jpg,pepper_healthy,3,test,plantvillage,pepper_healthy:136
test/pepper_healthy/7b6f5f09-cea5-4b1c-91c7-18207527c837___JR_HL 8652.jpg,pepper_healthy,3,test,plantvillage,pepper_healthy:137
test/pepper_healthy/83734876-b617-43cb-8407-8831496ac4cf___JR_HL 8796.jpg,pepper_healthy,3,test,plantvillage,pepper_healthy:147
test/pepper_healthy/83825263-0e8f-4e27-a6e2-b432323efe49___JR_HL 7593.jpg,pepper_healthy,3,test,plantvillage,pepper_healthy:148
test/pepper_healthy/961610a9-e440-4e41-960f-386f1c7cf1ec___JR_HL 8488.jpg,pepper_healthy,3,test,plantvillage,pepper_healthy:165
test/pepper_healthy/964b9fb3-8919-4a08-967d-ae652d1d4bd7___JR_HL 8285.jpg,pepper_healthy,3,test,plantvillage,pepper_healthy:166
test/pepper_healthy/9d98fc3b-9583-41d2-84e5-80689499f1c8___JR_HL 7913.jpg,pepper_healthy,3,test,plantvillage,pepper_healthy:171
test/pepper_healthy/9e491fe1-571a-4296-bfca-a8d85b51dcf6___JR_HL 8524.jpg,pepper_healthy,3,test,plantvillage,pepper_healthy:172
test/pepper_healthy/a38c002b-d0ed-4d5b-9b00-828665e3bebf___JR_HL 8705.jpg,pepper_healthy,3,test,plantvillage,pepper_healthy:179
test/pepper_healthy/a6df86ad-1d11-43f3-9a71-7aa4a9c35b8b___JR_HL 8272.jpg,pepper_healthy,3,test,plantvillage,pepper_healthy:187
test/pepper_healthy/ae016efb-ee4a-457c-8e91-788ddbbdaee4___JR_HL 7715.jpg,pepper_healthy,3,test,plantvillage,pepper_healthy:200
test/pepper_healthy/b3b3fd1a-5783-403a-bab2-8567c66fa0df___JR_HL 8827.jpg,pepper_healthy,3,test,plantvillage,pepper_healthy:206
test/pepper_healthy/b9857b11-defc-472d-9775-95be585284f8___JR_HL 7707.jpg,pepper_healthy,3,test,plantvillage,pepper_healthy:212
test/pepper_healthy/bc388512-fc59-4069-bae0-05faca671d1e___JR_HL 8362.jpg,pepper_healthy,3,test,plantvillage,pepper_healthy:215
test/pepper_healthy/d009f25f-266f-4369-b6d1-11e5fea7a08f___JR_HL 7816.jpg,pepper_healthy,3,test,plantvillage,pepper_healthy:240
test/pepper_healthy/d15d99e1-1f77-4c74-ae6a-4db663e00f39___JR_HL 5959.jpg,pepper_healthy,3,test,plantvillage,pepper_healthy:243
test/pepper_healthy/d37f4830-1504-4052-b4ec-501d170d3e83___JR_HL 8107.jpg,pepper_healthy,3,test,plantvillage,pepper_healthy:245
test/pepper_healthy/dbced313-fc2a-4780-bf86-b50d1934580c___JR_HL 7565.jpg,pepper_healthy,3,test,plantvillage,pepper_healthy:253
test/pepper_healthy/dddbe84f-16f2-42ba-ab89-1b3aad6b9658___JR_HL 7590.jpg,pepper_healthy,3,test,plantvillage,pepper_healthy:255
test/pepper_healthy/df911e7c-0200-4e05-9076-6c40141bcbab___JR_HL 8273.jpg,pepper_healthy,3,test,plantvillage,pepper_healthy:261
test/pepper_healthy/e5492788-1625-4143-bd13-99a075603fd5___JR_HL 8224.jpg,pepper_healthy,3,test,plantvillage,pepper_healthy:266
test/pepper_healthy/e57adc99-0329-4dd4-96b7-0bb087c020cb___JR_HL 8706.jpg,pepper_healthy,3,test,plantvillage,pepper_healthy:267
test/pepper_healthy/ed4e6505-3d77-457f-af9a-085ffa0a8d94___JR_HL 8713.jpg,pepper_healthy,3,test,plantvillage,pepper_healthy:270
test/pepper_healthy/ff42d153-cf08-4582-93b7-c97ac740331a___JR_HL 8531.jpg,pepper_healthy,3,test,plantvillage,pepper_healthy:291
test/potato_early_blight/07953ca1-8935-449f-b338-4357ed683b2d___RS_Early.B 6815.jpg,potato_early_blight,4,test,plantvillage,potato_early_blight:6
test/potato_early_blight/16a6f216-6d2a-48fe-b8bc-ff385c96d0d3___RS_Early.B 7220.jpg,potato_early_blight,4,test,plantvillage,potato_early_blight:18
test/potato_early_blight/232c8d25-3bfe-41ea-b24f-2b3629a0253a___RS_Early.B 9200.jpg,potato_early_blight,4,test,plantvillage,potato_early_blight:26
test/potato_early_blight/2dc9baab-663f-4f09-a0a4-7c07edfb4c42___RS_Early.B 6866.jpg,potato_early_blight,4,test,plantvillage,potato_early_blight:31
test/potato_early_blight/3a314933-9e92-4c90-acc2-656a04c591e7___RS_Early.B 8906.jpg,potato_early_blight,4,test,plantvillage,potato_early_blight:44
test/potato_early_blight/3ebc2af4-fe74-4918-b46f-09ec268884ef___RS_Early.B 7856.jpg,potato_early_blight,4,test,plantvillage,potato_early_blight:48
test/potato_early_blight/5cb0b99b-2e14-43b3-aa51-51a7ce668793___RS_Early.B 7455.jpg,potato_early_blight,4,test,plantvillage,potato_early_blight:68
test/potato_early_blight/5fd6c76a-1e89-4991-9991-2b61670d5175___RS_Early.B 8208.jpg,potato_early_blight,4,test,plantvillage,potato_early_blight:69
test/potato_early_blight/61f4f7c5-cebe-471a-9be9-b595255b7fb4___RS_Early.B 7029.jpg,potato_early_blight,4,test,plantvillage,potato_early_blight:70
test/potato_early_blight/68662e76-300e-49f6-8467-27dd63aa18ed___RS_Early.B 7163.jpg,potato_early_blight,4,test,plantvillage,potato_early_blight:77
test/potato_early_blight/6b8024be-e45f-459f-9817-8d6fb0dda89a___RS_Early.B 6904.jpg,potato_early_blight,4,test,plantvillage,potato_early_blight:78
test/potato_early_blight/6dfdd5be-0999-4a5c-a35d-c760043fec23___RS_Early.B 8701.jpg,potato_early_blight,4,test,plantvillage,potato_early_blight:79
test/potato_early_blight/73273541-2855-4516-92c3-658703bd2d18___RS_Early.B 6814.jpg,potato_early_blight,4,test,plantvillage,potato_early_blight:82
test/potato_early_blight/90d47c2a-c84e-498c-b30d-f368e75611a7___RS_Early.B 7778.jpg,potato_early_blight,4,test,plantvillage,potato_early_blight:102
test/potato_early_blight/91721448-8786-49f6-a66d-d410fe714676___RS_Early.B 7725.jpg,potato_early_blight,4,test,plantvillage,potato_early_blight:104
test/potato_early_blight/91a21acf-c95a-4ffc-90f2-8c64456f4032___RS_Early.B 7139.jpg,potato_early_blight,4,test,plantvillage,potato_early_blight:105
test/potato_early_blight/9bc2ecbb-4a3c-43be-80ce-c6ac77e4b498___RS_Early.B 7145.jpg,potato_early_blight,4,test,plantvillage,potato_early_blight:113
test/potato_early_blight/a0d8a499-e9e4-4c88-829c-7c2270073735___RS_Early.B 8525.jpg,potato_early_blight,4,test,plantvillage,potato_early_blight:116
test/potato_early_blight/a2fe15c2-1900-4fbd-9e69-771b1693cc68___RS_Early.B 7398.jpg,potato_early_blight,4,test,plantvillage,potato_early_blight:118
test/potato_early_blight/b09e0cba-0564-4dde-a90d-3c0d90d6336e___RS_Early.B 7776.jpg,potato_early_blight,4,test,plantvillage,potato_early_blight:126
test/potato_early_blight/b6220993-c51f-48fa-bee9-fb5cb89cc0c4___RS_Early.B 7467.jpg,potato_early_blight,4,test,plantvillage,potato_early_blight:137
test/potato_early_blight/beb20b26-07f9-4215-8264-dca1283514ac___RS_Early.B 7644.jpg,potato_early_blight,4,test,plantvillage,potato_early_blight:145
test/potato_early_blight/c30ce1e1-5f05-4cb7-a95a-f22d3621c54f___RS_Early.B 6964.jpg,potato_early_blight,4,test,plantvillage,potato_early_blight:147
test/potato_early_blight/c3ce9bae-e62a-4dd9-afa0-f020c48b87cc___RS_Early.B 6704.jpg,potato_early_blight,4,test,plantvillage,potato_early_blight:149
test/potato_early_blight/c5cb3e89-f00f-4032-80ca-eb39bead0796___RS_Early.B 8645.jpg,potato_early_blight,4,test,plantvillage,potato_early_blight:153
test/potato_early_blight/db60c4cf-30f1-460c-a345-3045f192f725___RS_Early.B 6722.jpg,potato_early_blight,4,test,plantvillage,potato_early_blight:171
test/potato_early_blight/dbe05365-9166-45f7-94cf-cefca787215a___RS_Early.B 9144.jpg,potato_early_blight,4,test,plantvillage,potato_early_blight:172
test/potato_early_blight/dc6516c4-a74c-465f-85a1-55608ee518da___RS_Early.B 8843.jpg,potato_early_blight,4,test,plantvillage,potato_early_blight:173
test/potato_early_blight/e00d7014-a909-4d98-892b-da96a2be9a2e___RS_Early.B 7535.jpg,potato_early_blight,4,test,plantvillage,potato_early_blight:178
test/potato_early_blight/ec9ea109-34c7-48c5-bbac-40a36b21fa05___RS_Early.B 8761.jpg,potato_early_blight,4,test,plantvillage,potato_early_blight:185
test/potato_healthy/144d2475-21ab-4bdc-a67c-9672a9b711e6___RS_HL 5376.jpg,potato_healthy,5,test,plantvillage,potato_healthy:1
test/potato_healthy/d227e4c8-e203-4aa4-b813-25b96baa2869___RS_HL 1831.jpg,potato_healthy,5,test,plantvillage,potato_healthy:24
test/potato_healthy/de9a8669-d437-40f0-aa56-fe2d8276a1e0___RS_HL 1910.jpg,potato_healthy,5,test,plantvillage,potato_healthy:26
test/potato_healthy/f5bd2732-197b-4d8e-bb50-a4966dc416f5___RS_HL 1840.jpg,potato_healthy,5,test,plantvillage,potato_healthy:29
test/potato_late_blight/0acdc2b2-0dde-4073-8542-6fca275ab974___RS_LB 4857.jpg,potato_late_blight,6,test,plantvillage,potato_late_blight:8
test/potato_late_blight/12d72127-7880-4481-b3c6-caff04116a86___RS_LB 2632.jpg,potato_late_blight,6,test,plantvillage,potato_late_blight:10
test/potato_late_blight/227f2f04-4d59-48d9-958d-5cccc70d3f2b___RS_LB 2772.jpg,potato_late_blight,6,test,plantvillage,potato_late_blight:23
test/potato_late_blight/28cbad12-8d41-4d36-a6df-db0d35ee1ce0___RS_LB 2922.jpg,potato_late_blight,6,test,plantvillage,potato_late_blight:27
